Location_ID,Location_Name,Location_Setting,Location_Description,County,Coordinate_System,Latitude_Decimal_Degrees,Longitude_Decimal_Degrees,Horizontal_Coordinates_Represent,Horizontal_Datum,Horizontal_Coordinate_Accuracy,Horizontal_Coordinate_Collection_Method,Paper_Map_Scale
"020Ki","Hidden Lake Beach, King","Lake/Pond/Reservoir","Hidden Lake Beach, King","King","LAT/LONG","47.752182","-122.369980","99","1","99","13","1"
"060Ki","Idylwood Beach, King","Lake/Pond/Reservoir","Idylwood Beach, King","King","LAT/LONG","47.641644","-122.099823","99","1","99","13","1"
"061Ki","Lake Sammamish Beach, King","Lake/Pond/Reservoir","Lake Sammamish Beach, King","King","LAT/LONG","47.556844","-122.070323","99","1","99","13","1"
"080Ki","Juanita Beach, King","Lake/Pond/Reservoir","Juanita Beach, King","King","LAT/LONG","47.704210","-122.214630","99","1","99","13","1"
"080Ki","Log Boom Park (Lake Washington), King","Lake/Pond/Reservoir","Log Boom Park (Lake Washington), King","King","LAT/LONG","47.757667","-122.264293","99","1","99","13","1"
"081Ki","Andrews Bay - Seward Park, King","Lake/Pond/Reservoir","Andrews Bay - Seward Park, King","King","LAT/LONG","47.551540","-122.256520","99","1","99","13","1"
"081Ki","Matthews Beach, King","Lake/Pond/Reservoir","Matthews Beach, King","King","LAT/LONG","47.695930","-122.271430","99","1","99","13","1"
"082Ki","Mount Baker Beach, King","Lake/Pond/Reservoir","Mount Baker Beach, King","King","LAT/LONG","47.583540","-122.286120","99","1","99","13","1"
"082Ki","Magnuson Beach Off Leash Area, King","Lake/Pond/Reservoir","Magnuson Beach Off Leash Area, King","King","LAT/LONG","47.685762","-122.247181","99","1","99","13","1"
"082Ki","Magnuson Beach, King","Lake/Pond/Reservoir","Magnuson Beach, King","King","LAT/LONG","47.680621","-122.245405","99","1","99","13","1"
"082Ki","Gene Coulon, King","Lake/Pond/Reservoir","Gene Coulon, King","King","LAT/LONG","47.504677","-122.201768","99","1","99","13","1"
