,County,WRIA Number,Site,Lab Sample Number,Collect Date,Parameter,Dominance,loc_idx,geometry
94,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Achnanthes sp.,Present,300,POINT (-119.22881 46.23886)
95,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Actinastrum sp.,Present,300,POINT (-119.22881 46.23886)
96,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Amphora sp.,Present,300,POINT (-119.22881 46.23886)
97,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Anabaena: trichome irregularly twisted,Present,300,POINT (-119.22881 46.23886)
98,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Ankistrodesmus sp.,Present,300,POINT (-119.22881 46.23886)
99,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Aphanizomenon sp.,Present,300,POINT (-119.22881 46.23886)
100,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Aphanocapsa sp.,Present,300,POINT (-119.22881 46.23886)
101,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Aulacoseira sp.,Present,300,POINT (-119.22881 46.23886)
102,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Cocconeis sp.,Present,300,POINT (-119.22881 46.23886)
103,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Cosmarium sp.,Present,300,POINT (-119.22881 46.23886)
104,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Cryptomonas sp.,Present,300,POINT (-119.22881 46.23886)
105,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Cuspidotherix sp.,Present,300,POINT (-119.22881 46.23886)
106,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Cymbella sp.,Present,300,POINT (-119.22881 46.23886)
107,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Desmodesmus sp.,Present,300,POINT (-119.22881 46.23886)
108,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Dictyosphaerium sp.,Present,300,POINT (-119.22881 46.23886)
109,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Encyonema sp.,Present,300,POINT (-119.22881 46.23886)
110,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Euglena sp.,Subdominant,300,POINT (-119.22881 46.23886)
111,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Gomphonema sp.,Present,300,POINT (-119.22881 46.23886)
112,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Lepocinclis sp.,Present,300,POINT (-119.22881 46.23886)
113,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Melosira sp.,Present,300,POINT (-119.22881 46.23886)
114,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Navicula sp.,Present,300,POINT (-119.22881 46.23886)
115,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Nitzschia sp.,Present,300,POINT (-119.22881 46.23886)
116,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Oscillatoria sp.,Present,300,POINT (-119.22881 46.23886)
117,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Pediastrum sp.,Present,300,POINT (-119.22881 46.23886)
118,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Planktosphaeria sp.,Present,300,POINT (-119.22881 46.23886)
119,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Pseudanabaena sp.,Dominant,300,POINT (-119.22881 46.23886)
120,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Rhoicosphenia sp.,Present,300,POINT (-119.22881 46.23886)
121,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Surirella sp.,Present,300,POINT (-119.22881 46.23886)
122,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Synedra sp.,Present,300,POINT (-119.22881 46.23886)
123,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Trachelomonas sp.,Present,300,POINT (-119.22881 46.23886)
124,Benton,37.0,Yakima Delta,L68576-2,09/06/2017,Undetermined Diatom: Pennate,Present,300,POINT (-119.22881 46.23886)
125,Chelan,45.0,Fish,L61250-1,09/17/2014,Anabaena: trichome irregularly twisted,Present,103,POINT (-120.703665 47.835594)
126,Chelan,45.0,Fish,L61250-1,09/17/2014,Aphanizomenon sp.,Subdominant,103,POINT (-120.703665 47.835594)
127,Chelan,45.0,Fish,L61250-1,09/17/2014,Microcystis sp.,Dominant,103,POINT (-120.703665 47.835594)
128,Chelan,45.0,Fish,L61250-1,09/17/2014,Woronichinia sp.,Present,103,POINT (-120.703665 47.835594)
142,Clallam,20.0,Pleasant,L57277-1,01/16/2013,Anabaena: trichome irregularly twisted,Subdominant,224,POINT (-124.3275 48.0675)
143,Clallam,20.0,Pleasant,L57277-1,01/16/2013,Aphanizomenon sp.,Dominant,224,POINT (-124.3275 48.0675)
144,Clallam,20.0,Pleasant,L57277-1,01/16/2013,Unicellular Green 4-7 microns,Present,224,POINT (-124.3275 48.0675)
145,Clallam,18.0,Solmar,L66057-2,08/29/2016,Aphanizomenon sp.,Present,253,POINT (-123.22627 48.093737)
146,Clallam,18.0,Solmar,L66057-2,08/29/2016,Mougeotia sp.,Subdominant,253,POINT (-123.22627 48.093737)
147,Clallam,18.0,Solmar,L66057-2,08/29/2016,Planktosphaeria sp.,Present,253,POINT (-123.22627 48.093737)
148,Clallam,18.0,Solmar,L66057-2,08/29/2016,Sphaerocystis sp.,Present,253,POINT (-123.22627 48.093737)
149,Clallam,18.0,Solmar,L66057-2,08/29/2016,Spirogyra sp.,Dominant,253,POINT (-123.22627 48.093737)
150,Clallam,18.0,Solmar,L66057-2,08/29/2016,Trachelomonas sp.,Present,253,POINT (-123.22627 48.093737)
151,Clallam,18.0,Solmar,L66057-2,08/29/2016,Undetermined Diatom: Pennate,Present,253,POINT (-123.22627 48.093737)
152,Clallam,18.0,Solmar,L63300-1,07/20/2015,Anabaena: trichome irregularly twisted,Present,253,POINT (-123.22627 48.093737)
153,Clallam,18.0,Solmar,L63300-1,07/20/2015,Aphanothece sp.,Present,253,POINT (-123.22627 48.093737)
154,Clallam,18.0,Solmar,L63300-1,07/20/2015,Botryococcus sp.,Subdominant,253,POINT (-123.22627 48.093737)
155,Clallam,18.0,Solmar,L63300-1,07/20/2015,Gomphonema sp.,Present,253,POINT (-123.22627 48.093737)
156,Clallam,18.0,Solmar,L63300-1,07/20/2015,Microcystis sp.,Dominant,253,POINT (-123.22627 48.093737)
157,Clallam,18.0,Solmar,L63300-1,07/20/2015,Phormidium sp.,Present,253,POINT (-123.22627 48.093737)
158,Clallam,18.0,Solmar,L63300-1,07/20/2015,Pinnularia sp.,Present,253,POINT (-123.22627 48.093737)
159,Clallam,18.0,Solmar,L63300-1,07/20/2015,Undetermined Pennate Diatom,Present,253,POINT (-123.22627 48.093737)
160,Clallam,18.0,Solmar,L63142-1,07/01/2015,Additional Info,Present,253,POINT (-123.22627 48.093737)
161,Clallam,18.0,Solmar,L63142-1,07/01/2015,Anabaena: trichome irregularly twisted,Dominant,253,POINT (-123.22627 48.093737)
162,Clallam,18.0,Solmar,L63142-1,07/01/2015,Gomphonema sp.,Present,253,POINT (-123.22627 48.093737)
163,Clallam,18.0,Solmar,L63142-1,07/01/2015,Undetermined Centric Diatom,Present,253,POINT (-123.22627 48.093737)
164,Clallam,18.0,Solmar,L63142-1,07/01/2015,Unicellular Green 4-7 microns,Present,253,POINT (-123.22627 48.093737)
165,Clallam,18.0,Sutherland,L48570-1,07/11/2009,Cymbella sp.,Present,271,POINT (-123.708708 48.077812)
166,Clallam,18.0,Sutherland,L48570-1,07/11/2009,Fragilaria sp.,Present,271,POINT (-123.708708 48.077812)
167,Clallam,18.0,Sutherland,L48570-1,07/11/2009,Oedogonium sp.,Present,271,POINT (-123.708708 48.077812)
168,Clallam,18.0,Sutherland,L48570-1,07/11/2009,Spirogyra sp.,Present,271,POINT (-123.708708 48.077812)
169,Clallam,18.0,Sutherland,L48570-1,07/11/2009,Undetermined Filament,Dominant,271,POINT (-123.708708 48.077812)
170,Clallam,18.0,Sutherland,L48570-1,07/11/2009,Unidentified Diatom,Present,271,POINT (-123.708708 48.077812)
171,Clark,28.0,Lacamas,L55983-1,06/26/2012,Amphora sp.,Present,149,POINT (-122.425293 45.616562)
172,Clark,28.0,Lacamas,L55983-1,06/26/2012,Anabaena: trichome irregularly twisted,Dominant,149,POINT (-122.425293 45.616562)
173,Clark,28.0,Lacamas,L55983-1,06/26/2012,Anabaena: trichome regularly coiled,Present,149,POINT (-122.425293 45.616562)
174,Clark,28.0,Lacamas,L55983-1,06/26/2012,Anabaena: trichome straight,Present,149,POINT (-122.425293 45.616562)
175,Clark,28.0,Lacamas,L55983-1,06/26/2012,Aphanizomenon sp.,Present,149,POINT (-122.425293 45.616562)
176,Clark,28.0,Lacamas,L55983-1,06/26/2012,Asterionella,Present,149,POINT (-122.425293 45.616562)
