County,Site,LabSampleNum,WRIANumber,CollectDate,Parameter,Toxin Concentration (µg/L),MDL (µg/L),ExceedInd,ScumInd
,,L67885-8,,05/30/2017,Anatoxin-a,<MDL,0.010,No,No
,,L65990-3,,08/15/2016,Anatoxin-a,<MDL,0.010,No,No
,,L65990-3,,08/15/2016,Microcystin,<MDL,0.200,No,No
,,L64640-1,,01/13/2016,Anatoxin-a,<MDL,0.010,No,Yes
,,L64640-1,,01/13/2016,Microcystin,<MDL,0.800,No,Yes
,,L63747-3,,09/10/2015,Anatoxin-a,<MDL,0.010,No,No
,,L63747-3,,09/10/2015,Microcystin,0.160,0.160,No,No
,,L62836-1,,05/18/2015,Microcystin,0.163,0.160,No,Yes
,,L44830-1,,12/12/2007,Microcystin,0.116,0.050,No,No
,,L43992-1,,09/20/2007,Microcystin,8.800,0.050,Yes,No
,,L43956-1,,09/14/2007,Microcystin,55.000,0.050,Yes,No
,,L42586-1,,04/26/2007,Microcystin,<MDL,0.050,No,No
,Lanhams Pond,L49503-1,,10/26/2009,Microcystin,<MDL,,No,No
Benton,Yakima Delta,L68576-2,37,09/06/2017,Anatoxin-a,<MDL,0.010,No,No
Benton,Yakima Delta,L68576-2,37,09/06/2017,Microcystin,0.339,0.150,No,No
Benton,Yakima Delta,L68429-1,37,08/14/2017,Anatoxin-a,0.010,0.010,No,Yes
Benton,Yakima Delta,L68429-1,37,08/14/2017,Microcystin,<MDL,0.150,No,Yes
Chelan,Fish Lake,L63544-5,45,08/17/2015,Microcystin,<MDL,0.160,No,Yes
Chelan,Fish Lake,L63544-6,45,08/17/2015,Microcystin,<MDL,0.160,No,Yes
Chelan,Fish Lake,L63544-7,45,08/17/2015,Microcystin,<MDL,0.160,No,Yes
Chelan,Fish Lake,L61460-1,45,10/14/2014,Microcystin,2.200,0.160,No,No
Chelan,Fish Lake,L61336-1,45,09/30/2014,Microcystin,1.580,0.160,No,Yes
Chelan,Fish Lake,L61336-2,45,09/30/2014,Microcystin,2.270,0.160,No,Yes
Chelan,Fish Lake,L61250-1,45,09/17/2014,Anatoxin-a,<MDL,0.010,No,Yes
Chelan,Fish Lake,L61250-1,45,09/17/2014,Microcystin,786.000,0.160,Yes,Yes
Chelan,Columbia River, Malaga,L68294-1,40,07/25/2017,Anatoxin-a,1.690,0.010,Yes,Yes
Chelan,Columbia River, Malaga,L68294-1,40,07/25/2017,Microcystin,0.329,0.150,No,Yes
Clallam,Irrigation Culvert,L62836-2,,05/18/2015,Microcystin,<MDL,0.160,No,No
Clallam,Irrigation Culvert,L48063-1,,05/11/2009,Microcystin,<MDL,0.050,No,No
Clallam,Lake Pleasant,L57277-1,20,01/16/2013,Anatoxin-a,0.020,0.019,No,Yes
Clallam,Lake Pleasant,L57277-1,20,01/16/2013,Microcystin,0.065,0.050,No,Yes
Clallam,Solmar Lake,L66057-2,18,08/29/2016,Anatoxin-a,<MDL,0.010,No,No
Clallam,Solmar Lake,L66057-2,18,08/29/2016,Microcystin,0.528,0.200,No,No
Clallam,Solmar Lake,L63300-1,18,07/20/2015,Anatoxin-a,<MDL,0.010,No,No
Clallam,Solmar Lake,L63300-1,18,07/20/2015,Microcystin,227.000,0.160,Yes,No
Clallam,Solmar Lake,L63142-1,18,07/01/2015,Anatoxin-a,<MDL,0.010,No,No
Clallam,Solmar Lake,L63142-1,18,07/01/2015,Microcystin,1.630,0.160,No,No
Clark,Lacamas Lake,L56022-1,28,07/02/2012,Anatoxin-a,<MDL,0.019,No,Yes
Clark,Lacamas Lake,L56022-1,28,07/02/2012,Microcystin,0.064,0.050,No,Yes
Clark,Lacamas Lake,L55983-1,28,06/26/2012,Anatoxin-a,<MDL,0.019,No,Yes
Clark,Lacamas Lake,L55983-1,28,06/26/2012,Microcystin,0.246,0.050,No,Yes
Clark,Lacamas Lake,L49136-1,28,09/17/2009,Anatoxin-a,<MDL,0.038,No,No
Clark,Lacamas Lake,L49136-1,28,09/17/2009,Microcystin,1.750,0.050,No,No
Clark,Round Lake,L49136-2,28,09/17/2009,Anatoxin-a,<MDL,0.038,No,No
Clark,Round Lake,L49136-2,28,09/17/2009,Microcystin,0.777,0.050,No,No
Clark,Vancouver Lake,L68603-2,28,09/11/2017,Anatoxin-a,<MDL,0.010,No,No
Clark,Vancouver Lake,L68603-2,28,09/11/2017,Microcystin,1.790,0.150,No,No
Clark,Vancouver Lake,L65952-1,28,08/09/2016,Anatoxin-a,<MDL,0.010,No,No
Clark,Vancouver Lake,L65952-1,28,08/09/2016,Microcystin,0.293,0.200,No,No
Clark,Vancouver Lake,L63748-5,28,09/10/2015,Anatoxin-a,<MDL,0.010,No,Yes
Clark,Vancouver Lake,L63748-5,28,09/10/2015,Microcystin,<MDL,0.160,No,Yes
Clark,Vancouver Lake,L63711-1,28,09/03/2015,Anatoxin-a,<MDL,0.010,No,Yes
Clark,Vancouver Lake,L63711-1,28,09/03/2015,Microcystin,2.310,0.160,No,Yes
Clark,Vancouver Lake,L63644-1,28,08/28/2015,Anatoxin-a,<MDL,0.010,No,Yes
Clark,Vancouver Lake,L63644-2,28,08/28/2015,Anatoxin-a,<MDL,0.010,No,Yes
Clark,Vancouver Lake,L63644-2,28,08/28/2015,Microcystin,8.040,0.160,Yes,Yes
Clark,Vancouver Lake,L63644-1,28,08/28/2015,Microcystin,<MDL,0.160,No,Yes
Clark,Vancouver Lake,L63563-2,28,08/20/2015,Anatoxin-a,<MDL,0.010,No,Yes
Clark,Vancouver Lake,L63563-1,28,08/20/2015,Anatoxin-a,<MDL,0.010,No,Yes
Clark,Vancouver Lake,L63563-1,28,08/20/2015,Microcystin,<MDL,0.160,No,Yes
Clark,Vancouver Lake,L63563-2,28,08/20/2015,Microcystin,<MDL,0.160,No,Yes
Clark,Vancouver Lake,L63364-1,28,07/28/2015,Anatoxin-a,<MDL,0.010,No,Yes
Clark,Vancouver Lake,L63364-1,28,07/28/2015,Microcystin,<MDL,0.160,No,Yes
Clark,Vancouver Lake,L63327-1,28,07/23/2015,Anatoxin-a,<MDL,0.010,No,No
Clark,Vancouver Lake,L63327-1,28,07/23/2015,Microcystin,<MDL,0.160,No,No
Clark,Vancouver Lake,L61085-1,28,09/02/2014,Anatoxin-a,0.015,0.010,No,Yes
Clark,Vancouver Lake,L61085-1,28,09/02/2014,Cylindrospermopsin,<MDL,0.100,No,Yes
Clark,Vancouver Lake,L61085-1,28,09/02/2014,Microcystin,0.511,0.160,No,Yes
Clark,Vancouver Lake,L61085-1,28,09/02/2014,Saxitoxin,0.026,0.020,No,Yes
Clark,Vancouver Lake,L61057-1,28,08/26/2014,Anatoxin-a,0.118,0.010,No,Yes
Clark,Vancouver Lake,L61057-1,28,08/26/2014,Microcystin,0.635,0.160,No,Yes
Clark,Vancouver Lake,L60995-1,28,08/19/2014,Anatoxin-a,0.064,0.010,No,Yes
Clark,Vancouver Lake,L60995-1,28,08/19/2014,Cylindrospermopsin,<MDL,0.100,No,Yes
Clark,Vancouver Lake,L60995-1,28,08/19/2014,Microcystin,0.881,0.160,No,Yes
Clark,Vancouver Lake,L60995-1,28,08/19/2014,Saxitoxin,0.023,0.020,No,Yes
Clark,Vancouver Lake,L60926-1,28,08/12/2014,Anatoxin-a,0.042,0.010,No,Yes
Clark,Vancouver Lake,L60926-1,28,08/12/2014,Cylindrospermopsin,<MDL,0.100,No,Yes
Clark,Vancouver Lake,L60926-1,28,08/12/2014,Microcystin,1.410,0.160,No,Yes
Clark,Vancouver Lake,L60926-1,28,08/12/2014,Saxitoxin,<MDL,0.020,No,Yes
Clark,Vancouver Lake,L60873-1,28,08/05/2014,Anatoxin-a,0.030,0.010,No,Yes
Clark,Vancouver Lake,L60873-1,28,08/05/2014,Cylindrospermopsin,<MDL,0.100,No,Yes
Clark,Vancouver Lake,L60873-1,28,08/05/2014,Microcystin,0.589,0.160,No,Yes
Clark,Vancouver Lake,L60873-1,28,08/05/2014,Saxitoxin,<MDL,0.020,No,Yes
Clark,Vancouver Lake,L60799-1,28,07/29/2014,Anatoxin-a,0.018,0.010,No,Yes
Clark,Vancouver Lake,L60799-1,28,07/29/2014,Microcystin,<MDL,0.160,No,Yes
Clark,Vancouver Lake,L60744-1,28,07/22/2014,Anatoxin-a,0.023,0.010,No,No
Clark,Vancouver Lake,L60744-1,28,07/22/2014,Microcystin,3.690,0.160,No,No
Clark,Vancouver Lake,L58456-1,28,07/30/2013,Anatoxin-a,<MDL,0.010,No,No
Clark,Vancouver Lake,L58456-1,28,07/30/2013,Microcystin,0.198,0.160,No,No
Clark,Vancouver Lake,L54048-1,28,08/29/2011,Anatoxin-a,<MDL,0.019,No,Yes
Clark,Vancouver Lake,L54048-1,28,08/29/2011,Microcystin,0.508,0.050,No,Yes
Clark,Vancouver Lake,L54018-1,28,08/22/2011,Anatoxin-a,0.155,0.019,No,No
Clark,Vancouver Lake,L54018-1,28,08/22/2011,Microcystin,<MDL,0.050,No,No
Clark,Vancouver Lake,L53887-1,28,08/08/2011,Anatoxin-a,<MDL,0.019,No,No
Clark,Vancouver Lake,L53887-1,28,08/08/2011,Microcystin,<MDL,0.050,No,No
Clark,Vancouver Lake,L53756-1,28,07/25/2011,Anatoxin-a,<MDL,0.019,No,Yes
Clark,Vancouver Lake,L53756-1,28,07/25/2011,Microcystin,<MDL,0.050,No,Yes
Clark,Vancouver Lake,L53660-1,28,07/11/2011,Anatoxin-a,<MDL,0.019,No,Yes
Clark,Vancouver Lake,L53660-1,28,07/11/2011,Microcystin,4.020,0.050,No,Yes
Clark,Vancouver Lake,L53539-1,28,06/27/2011,Anatoxin-a,<MDL,0.019,No,No
Clark,Vancouver Lake,L53539-1,28,06/27/2011,Microcystin,<MDL,0.050,No,No
Clark,Vancouver Lake,L53500-1,28,06/20/2011,Anatoxin-a,0.025,0.019,No,No
Clark,Vancouver Lake,L53500-1,28,06/20/2011,Microcystin,8.890,0.050,Yes,No
Clark,Vancouver Lake,L51628-1,28,08/30/2010,Anatoxin-a,<MDL,0.019,No,No
Clark,Vancouver Lake,L51628-1,28,08/30/2010,Microcystin,0.064,0.050,No,No
Clark,Vancouver Lake,L51554-1,28,08/16/2010,Anatoxin-a,<MDL,0.019,No,Yes
Clark,Vancouver Lake,L51554-1,28,08/16/2010,Microcystin,0.066,0.050,No,Yes
Clark,Vancouver Lake,L51492-1,28,08/09/2010,Anatoxin-a,<MDL,0.019,No,Yes
Clark,Vancouver Lake,L51492-1,28,08/09/2010,Microcystin,0.099,0.050,No,Yes
Clark,Vancouver Lake,L51413-1,28,08/03/2010,Anatoxin-a,<MDL,0.019,No,Yes
Clark,Vancouver Lake,L51413-1,28,08/03/2010,Microcystin,0.060,0.050,No,Yes
Clark,Vancouver Lake,L51297-1,28,07/19/2010,Anatoxin-a,<MDL,0.019,No,No
Clark,Vancouver Lake,L51297-1,28,07/19/2010,Microcystin,0.117,0.050,No,No
Clark,Vancouver Lake,L49035-1,28,09/08/2009,Anatoxin-a,<MDL,0.038,No,No
Clark,Vancouver Lake,L49035-1,28,09/08/2009,Microcystin,0.208,0.050,No,No
Clark,Vancouver Lake,L48931-1,28,08/24/2009,Anatoxin-a,0.065,0.038,No,No
Clark,Vancouver Lake,L48931-1,28,08/24/2009,Microcystin,0.416,0.050,No,No
Clark,Vancouver Lake,L48883-1,28,08/17/2009,Anatoxin-a,0.043,0.038,No,No
Clark,Vancouver Lake,L48883-1,28,08/17/2009,Microcystin,0.410,0.050,No,No
Clark,Vancouver Lake,L48791-1,28,08/10/2009,Anatoxin-a,0.534,0.038,No,No
Clark,Vancouver Lake,L48791-1,28,08/10/2009,Microcystin,16.400,0.050,Yes,No
Clark,Vancouver Lake,L48749-1,28,08/03/2009,Anatoxin-a,<MDL,0.150,No,No
Clark,Vancouver Lake,L48749-1,28,08/03/2009,Microcystin,0.274,0.050,No,No
Clark,Vancouver Lake,L48679-1,28,07/27/2009,Anatoxin-a,<MDL,0.038,No,No
Clark,Vancouver Lake,L48679-1,28,07/27/2009,Microcystin,0.098,0.050,No,No
Clark,Vancouver Lake,L48650-1,28,07/21/2009,Anatoxin-a,<MDL,0.038,No,No
Clark,Vancouver Lake,L48650-1,28,07/21/2009,Microcystin,<MDL,0.050,No,No
Clark,Vancouver Lake,L46492-1,28,09/08/2008,Microcystin,0.443,0.050,No,No
Clark,Vancouver Lake,L46387-1,28,08/25/2008,Microcystin,0.402,0.050,No,No
Clark,Vancouver Lake,L46304-1,28,08/11/2008,Microcystin,0.194,0.050,No,No
Clark,Vancouver Lake,L46178-1,28,07/28/2008,Microcystin,0.789,0.050,No,No
Clark,Vancouver Lake,L46076-1,28,07/14/2008,Microcystin,0.068,0.050,No,No
Clark,Vancouver Lake,L46050-1,28,07/07/2008,Microcystin,<MDL,0.050,No,No
Clark,Vancouver Lake,L46000-1,28,06/30/2008,Microcystin,0.733,0.050,No,No
Clark,Vancouver Lake,L43811-1,28,09/04/2007,Microcystin,0.753,0.050,No,No
Clark,Vancouver Lake,L43688-1,28,08/27/2007,Microcystin,1.260,0.050,No,No
Clark,Vancouver Lake,L43535-1,28,08/13/2007,Microcystin,0.580,0.050,No,No
Clark,Vancouver Lake,L43336-1,28,07/24/2007,Microcystin,<MDL,0.050,No,No
Clark,Vancouver Lake,L43257-1,28,07/16/2007,Microcystin,0.052,0.050,No,No
Columbia,Lake Bryan,L56740-1,35,10/09/2012,Anatoxin-a,<MDL,0.019,No,Yes
Columbia,Lake Bryan,L56740-1,35,10/09/2012,Microcystin,0.270,0.160,No,Yes
Columbia,Lake Bryan,L56678-1,35,10/04/2012,Anatoxin-a,<MDL,0.019,No,Yes
Columbia,Lake Bryan,L56678-1,35,10/04/2012,Microcystin,0.996,0.160,No,Yes
Columbia,Lake Bryan,L56617-1,35,09/28/2012,Microcystin,43.600,0.050,Yes,No
Cowlitz,Horseshoe Lake,L48750-4,27,08/03/2009,Microcystin,<MDL,0.050,No,No
Cowlitz,Horseshoe Lake,L48695-1,27,07/28/2009,Microcystin,<MDL,0.050,No,No
Cowlitz,Horseshoe Lake,L48577-1,27,07/14/2009,Microcystin,0.055,0.050,No,No
Cowlitz,Horseshoe Lake,L46841-6,27,10/27/2008,Microcystin,0.051,0.050,No,No
Cowlitz,Horseshoe Lake,L46588-1,27,09/23/2008,Microcystin,0.065,0.050,No,No
Cowlitz,Horseshoe Lake,L46497-1,27,09/08/2008,Microcystin,0.055,0.050,No,No
Cowlitz,Lake Sacajawea,L66500-1,,10/25/2016,Anatoxin-a,<MDL,0.010,No,No
Cowlitz,Lake Sacajawea,L66500-1,,10/25/2016,Cylindrospermopsin,<MDL,0.100,No,No
Cowlitz,Lake Sacajawea,L66500-1,,10/25/2016,Microcystin,<MDL,0.200,No,No
Cowlitz,Silver Lake,L63611-2,26,08/26/2015,Microcystin,0.183,0.160,No,No
Cowlitz,Silver Lake,L63544-1,26,08/17/2015,Anatoxin-a,<MDL,0.010,No,Yes
Cowlitz,Silver Lake,L63544-1,26,08/17/2015,Microcystin,0.409,0.160,No,Yes
Cowlitz,Silver Lake,L63377-1,26,07/30/2015,Anatoxin-a,<MDL,0.010,No,No
Cowlitz,Silver Lake,L63377-1,26,07/30/2015,Microcystin,0.409,0.160,No,No
Cowlitz,Silver Lake,L59074-1,26,10/28/2013,Microcystin,<MDL,0.160,No,No
Cowlitz,Silver Lake,L58584-1,26,08/26/2013,Anatoxin-a,<MDL,0.010,No,Yes
Cowlitz,Silver Lake,L58584-1,26,08/26/2013,Microcystin,0.242,0.160,No,Yes
Cowlitz,Silver Lake,L58493-1,26,08/06/2013,Anatoxin-a,0.011,0.010,No,Yes
Cowlitz,Silver Lake,L58493-1,26,08/06/2013,Microcystin,0.754,0.160,No,Yes
Cowlitz,Silver Lake,L57988-1,26,05/14/2013,Microcystin,0.170,0.050,No,Yes
Cowlitz,Silver Lake,L51627-1,26,08/30/2010,Anatoxin-a,<MDL,0.019,No,Yes
Cowlitz,Silver Lake,L51627-1,26,08/30/2010,Microcystin,0.072,0.050,No,Yes
Cowlitz,Silver Lake,L51414-1,26,08/16/2010,Anatoxin-a,<MDL,0.019,No,Yes
Cowlitz,Silver Lake,L51414-1,26,08/16/2010,Microcystin,0.070,0.050,No,Yes
Cowlitz,Silver Lake,L51163-1,26,06/30/2010,Microcystin,<MDL,0.050,No,Yes
Cowlitz,Silver Lake,L49819-1,26,12/16/2009,Microcystin,<MDL,0.050,No,No
Cowlitz,Silver Lake,L49665-1,26,11/16/2009,Microcystin,<MDL,0.050,No,No
Cowlitz,Silver Lake,L49643-1,26,11/12/2009,Microcystin,0.408,0.050,No,No
Cowlitz,Silver Lake,L49593-1,26,11/04/2009,Microcystin,3.520,0.050,No,No
Cowlitz,Silver Lake,L49499-1,26,10/27/2009,Microcystin,0.088,0.050,No,No
Cowlitz,Silver Lake,L49471-1,26,10/22/2009,Microcystin,0.078,0.050,No,No
Cowlitz,Silver Lake,L49390-1,26,10/14/2009,Anatoxin-a,<MDL,0.038,No,No
Cowlitz,Silver Lake,L49390-1,26,10/14/2009,Microcystin,0.066,0.050,No,No
Cowlitz,Silver Lake,L49328-1,26,10/07/2009,Anatoxin-a,<MDL,0.038,No,No
Cowlitz,Silver Lake,L49328-1,26,10/07/2009,Microcystin,0.065,0.050,No,No
Cowlitz,Silver Lake,L49248-1,26,09/30/2009,Anatoxin-a,<MDL,0.038,No,No
Cowlitz,Silver Lake,L49248-1,26,09/30/2009,Microcystin,0.196,0.050,No,No
Cowlitz,Silver Lake,L49166-1,26,09/22/2009,Anatoxin-a,<MDL,0.038,No,No
Cowlitz,Silver Lake,L49166-1,26,09/22/2009,Microcystin,0.321,0.050,No,No
Cowlitz,Silver Lake,L48930-1,26,08/24/2009,Anatoxin-a,<MDL,0.038,No,No
Cowlitz,Silver Lake,L48930-2,26,08/24/2009,Anatoxin-a,<MDL,0.038,No,No
Cowlitz,Silver Lake,L48930-2,26,08/24/2009,Microcystin,0.178,0.050,No,No
Cowlitz,Silver Lake,L48930-1,26,08/24/2009,Microcystin,0.161,0.050,No,No
Cowlitz,Silver Lake,L48884-1,26,08/17/2009,Anatoxin-a,<MDL,0.038,No,No
Cowlitz,Silver Lake,L48884-2,26,08/17/2009,Anatoxin-a,<MDL,0.038,No,No
Cowlitz,Silver Lake,L48884-2,26,08/17/2009,Microcystin,0.721,0.050,No,No
Cowlitz,Silver Lake,L48884-1,26,08/17/2009,Microcystin,0.210,0.050,No,No
Cowlitz,Silver Lake,L48822-1,26,08/12/2009,Anatoxin-a,<MDL,0.031,No,No
Cowlitz,Silver Lake,L48822-1,26,08/12/2009,Microcystin,0.338,0.050,No,No
Cowlitz,Silver Lake,L48792-1,26,08/10/2009,Anatoxin-a,<MDL,0.038,No,No
Cowlitz,Silver Lake,L48792-1,26,08/10/2009,Microcystin,0.587,0.050,No,No
Cowlitz,Silver Lake,L48750-3,26,08/03/2009,Anatoxin-a,<MDL,0.010,No,No
Cowlitz,Silver Lake,L48750-1,26,08/03/2009,Anatoxin-a,<MDL,0.015,No,No
Cowlitz,Silver Lake,L48750-2,26,08/03/2009,Anatoxin-a,<MDL,0.045,No,No
Cowlitz,Silver Lake,L48750-2,26,08/03/2009,Microcystin,0.646,0.050,No,No
Cowlitz,Silver Lake,L48750-1,26,08/03/2009,Microcystin,0.133,0.050,No,No
Cowlitz,Silver Lake,L48750-3,26,08/03/2009,Microcystin,0.329,0.050,No,No
Cowlitz,Silver Lake,L48695-2,26,07/27/2009,Microcystin,1.190,0.050,No,No
Cowlitz,Silver Lake,L48577-2,26,07/14/2009,Microcystin,0.058,0.050,No,No
Cowlitz,Silver Lake,L46841-5,26,10/27/2008,Microcystin,<MDL,0.050,No,No
Cowlitz,Silver Lake,L46588-2,26,09/23/2008,Microcystin,<MDL,0.050,No,No
Cowlitz,Silver Lake,L46497-2,26,09/08/2008,Microcystin,0.052,0.050,No,No
Douglas,Hammond Lake,L67981-1,44,06/07/2017,Anatoxin-a,<MDL,0.010,No,No
Douglas,Hammond Lake,L67981-1,44,06/07/2017,Microcystin,1.990,0.150,No,No
Douglas,Hammond Lake,L63383-1,44,07/30/2015,Anatoxin-a,<MDL,0.010,No,Yes
Douglas,Hammond Lake,L63383-1,44,07/30/2015,Microcystin,<MDL,0.160,No,Yes
Douglas,Hammond Lake,L63266-2,44,07/15/2015,Anatoxin-a,<MDL,0.010,No,No
Douglas,Hammond Lake,L63266-2,44,07/15/2015,Microcystin,<MDL,0.160,No,No
Douglas,Hammond Lake,L63266-1,44,07/14/2015,Anatoxin-a,<MDL,0.010,No,No
Douglas,Hammond Lake,L63266-1,44,07/14/2015,Microcystin,2.020,0.160,No,No
Douglas,Hammond Lake,L49373-1,44,10/13/2009,Microcystin,0.110,0.050,No,No
